#{"t_start": 1768426875.1885633, "env_id": "Acrobot-v1"}
r,l,t
-92.0,93,60.888313
-116.0,117,60.983835
-93.0,94,61.049051
-69.0,70,61.103812
-91.0,92,61.168625
-77.0,78,61.231701
-77.0,78,61.325956
-63.0,64,61.396974
-65.0,66,61.441029
-86.0,87,61.509737
-94.0,95,61.591224
-79.0,80,61.659056
-135.0,136,63.143
-92.0,93,63.225067
-99.0,100,63.304065
-99.0,100,63.376885
-207.0,208,63.563181
-69.0,70,63.609806
-110.0,111,63.697876
-76.0,77,63.754923
-93.0,94,63.820806
-75.0,76,63.882276
-72.0,73,63.94109
-71.0,72,64.004031
-84.0,85,64.067784
-84.0,85,64.130183
-70.0,71,64.190087
-75.0,76,64.242874
-149.0,150,64.355786
-79.0,80,64.422994
-89.0,90,64.492781
-95.0,96,64.57892
-81.0,82,64.649161
-75.0,76,64.704934
-106.0,107,66.22751
-168.0,169,66.358306
-73.0,74,66.42087
-101.0,102,66.504594
-82.0,83,66.56686
-95.0,96,66.645837
-71.0,72,66.700737
-71.0,72,66.765774
-70.0,71,66.831718
-87.0,88,66.897908
-72.0,73,66.961074
-94.0,95,67.032105
-86.0,87,67.104757
-94.0,95,67.181514
-225.0,226,67.381091
-97.0,98,67.463084
-96.0,97,67.552177
-81.0,82,67.664096
-79.0,80,67.742097
-96.0,97,67.838835
-71.0,72,67.904768
-86.0,87,69.363044
-92.0,93,69.444335
-152.0,153,69.565018
-76.0,77,69.635108
-83.0,84,69.707897
-106.0,107,69.784097
-90.0,91,69.856003
-88.0,89,69.934195
-102.0,103,70.009969
-77.0,78,70.071102
-100.0,101,70.154094
-83.0,84,70.21381
-107.0,108,70.299594
-128.0,129,70.399841
-76.0,77,70.460536
-89.0,90,70.534127
-110.0,111,70.618227
-92.0,93,70.710479
-89.0,90,70.785925
-140.0,141,70.897802
-92.0,93,72.457608
-76.0,77,72.519108
-105.0,106,72.614106
-64.0,65,72.668825
-85.0,86,72.726938
-117.0,118,72.817264
-83.0,84,72.889259
-69.0,70,72.941668
-115.0,116,73.033197
-81.0,82,73.097995
-61.0,62,73.140897
-72.0,73,73.204829
-82.0,83,73.263009
-92.0,93,73.339955
-97.0,98,73.431839
-89.0,90,73.501068
-82.0,83,73.579886
-125.0,126,73.678161
-74.0,75,73.774848
-91.0,92,73.841105
-105.0,106,73.923937
-72.0,73,73.987096
-113.0,114,74.07598
-87.0,88,75.848691
-154.0,155,75.99434
-85.0,86,76.07601
-84.0,85,76.151238
-73.0,74,76.218023
-72.0,73,76.286936
-104.0,105,76.368157
-86.0,87,76.440881
-71.0,72,76.504033
-195.0,196,76.681986
-97.0,98,76.761639
-116.0,117,76.86982
-72.0,73,76.94421
-71.0,72,77.003365
-75.0,76,77.072092
-86.0,87,77.153903
-73.0,74,77.212056
-154.0,155,77.343414
-86.0,87,77.429796
-84.0,85,77.511039
-91.0,92,77.596061
-63.0,64,77.647769
-88.0,89,79.572154
-96.0,97,79.64845
-72.0,73,79.710231
-76.0,77,79.764503
-74.0,75,79.822863
-197.0,198,80.015084
-73.0,74,80.074162
-78.0,79,80.128213
-72.0,73,80.189819
-88.0,89,80.264384
-87.0,88,80.329995
-71.0,72,80.390419
-89.0,90,80.458205
-71.0,72,80.522148
-64.0,65,80.569947
-99.0,100,80.650142
-89.0,90,80.724984
-63.0,64,80.768025
-115.0,116,80.854707
-90.0,91,80.929902
-75.0,76,80.981839
-97.0,98,81.057037
-73.0,74,81.115828
-86.0,87,82.60959
-75.0,76,82.675632
-83.0,84,82.741924
-81.0,82,82.813968
-87.0,88,82.888597
-89.0,90,82.962178
-85.0,86,83.037066
-92.0,93,83.121482
-83.0,84,83.185099
-78.0,79,83.25605
-87.0,88,83.344001
-76.0,77,83.408169
-73.0,74,83.475068
-72.0,73,83.541155
-105.0,106,83.634103
-82.0,83,83.704364
-80.0,81,83.776485
-83.0,84,83.844136
-80.0,81,83.919046
-71.0,72,84.036299
-88.0,89,84.10929
-87.0,88,84.174024
-95.0,96,84.250158
-72.0,73,84.31653
-95.0,96,85.761393
-90.0,91,85.840083
-62.0,63,85.89072
-79.0,80,85.978067
-77.0,78,86.033851
-85.0,86,86.104972
-78.0,79,86.169142
-82.0,83,86.227006
-79.0,80,86.292144
-81.0,82,86.355369
-78.0,79,86.423168
-70.0,71,86.47398
-92.0,93,86.549106
-80.0,81,86.617702
-77.0,78,86.674272
-92.0,93,86.750686
-86.0,87,86.832334
-113.0,114,86.90906
-84.0,85,86.973293
-86.0,87,87.039286
-72.0,73,87.091617
-77.0,78,87.160309
-89.0,90,87.223039
-73.0,74,87.282034
-79.0,80,87.344093
-91.0,92,88.81156
-76.0,77,88.87061
-80.0,81,88.941117
-62.0,63,88.98629
-74.0,75,89.045511
-89.0,90,89.114324
-78.0,79,89.181475
-74.0,75,89.242252
-66.0,67,89.292121
-71.0,72,89.350291
-91.0,92,89.41402
-87.0,88,89.49313
-89.0,90,89.582416
-71.0,72,89.6343
-63.0,64,89.689168
-74.0,75,89.742032
-62.0,63,89.79619
-78.0,79,89.853029
-94.0,95,89.927223
-82.0,83,89.987391
-69.0,70,90.045171
-85.0,86,90.115974
-90.0,91,90.244153
-75.0,76,90.303285
-80.0,81,90.365123
-75.0,76,90.418284
-77.0,78,91.8562
-63.0,64,91.913238
-76.0,77,91.973994
-80.0,81,92.041269
-94.0,95,92.114667
-77.0,78,92.1713
-74.0,75,92.231935
-73.0,74,92.353229
-86.0,87,92.42105
-72.0,73,92.477009
-81.0,82,92.536526
-80.0,81,92.600983
-85.0,86,92.669118
-80.0,81,92.728317
-71.0,72,92.793073
-75.0,76,92.853341
-78.0,79,92.938012
-93.0,94,93.02198
-71.0,72,93.070988
-81.0,82,93.1368
-79.0,80,93.200051
-71.0,72,93.257139
-70.0,71,93.306226
-128.0,129,93.405264
-85.0,86,93.477288
-81.0,82,94.926253
-77.0,78,94.997385
-75.0,76,95.060508
-88.0,89,95.137249
-92.0,93,95.218419
-57.0,58,95.260634
-111.0,112,95.343257
-79.0,80,95.398376
-86.0,87,95.46613
-77.0,78,95.521314
-86.0,87,95.591019
-87.0,88,95.659277
-102.0,103,95.734246
-79.0,80,95.799967
-97.0,98,95.87739
-77.0,78,95.947419
-88.0,89,96.02119
-82.0,83,96.090364
-108.0,109,96.170289
-80.0,81,96.240411
-82.0,83,96.307197
-92.0,93,96.371871
-74.0,75,96.431275
-85.0,86,96.53446
-73.0,74,97.910279
-75.0,76,97.978497
-117.0,118,98.077066
-86.0,87,98.138003
-79.0,80,98.202964
-89.0,90,98.274932
-70.0,71,98.326442
-88.0,89,98.398328
-71.0,72,98.502881
-84.0,85,98.570309
-62.0,63,98.619642
-98.0,99,98.690361
-76.0,77,98.756028
-71.0,72,98.818273
-77.0,78,98.879691
-96.0,97,98.965516
-84.0,85,99.025195
-86.0,87,99.095197
-89.0,90,99.170033
-75.0,76,99.226191
-82.0,83,99.312001
-79.0,80,99.392122
-63.0,64,99.45228
-79.0,80,99.531033
-68.0,69,99.600215
-78.0,79,101.094276
-231.0,232,101.284058
-95.0,96,101.355174
-74.0,75,101.406352
-63.0,64,101.456997
-88.0,89,101.520172
-89.0,90,101.597221
-78.0,79,101.650886
-62.0,63,101.702143
-72.0,73,101.756325
-91.0,92,101.846994
-200.0,201,102.019215
-93.0,94,102.088025
-77.0,78,102.150919
-102.0,103,102.239169
-95.0,96,102.314563
-97.0,98,102.397434
-62.0,63,102.462733
-71.0,72,102.519465
-76.0,77,102.581208
-73.0,74,102.658048
-71.0,72,102.715197
-81.0,82,104.124431
-61.0,62,104.17376
-68.0,69,104.235307
-77.0,78,104.301348
-72.0,73,104.35338
-72.0,73,104.422341
-295.0,296,104.700174
-86.0,87,104.769384
-80.0,81,104.827131
-70.0,71,104.888327
-133.0,134,104.991855
-70.0,71,105.045565
-92.0,93,105.11919
-79.0,80,105.183424
-77.0,78,105.238667
-94.0,95,105.31304
-97.0,98,105.381276
-77.0,78,105.438586
-77.0,78,105.504093
-74.0,75,105.56223
-85.0,86,105.631168
-80.0,81,105.693153
-70.0,71,107.142347
-75.0,76,107.202977
-82.0,83,107.272447
-80.0,81,107.335203
-98.0,99,107.409787
-76.0,77,107.472437
-73.0,74,107.525276
-83.0,84,107.597425
-76.0,77,107.657389
-96.0,97,107.72925
-97.0,98,107.801471
-79.0,80,107.856182
-75.0,76,107.923405
-86.0,87,107.988678
-76.0,77,108.047151
-82.0,83,108.107069
-88.0,89,108.179363
-81.0,82,108.241695
-71.0,72,108.291085
-95.0,96,108.363275
-96.0,97,108.429054
-140.0,141,108.537171
-83.0,84,108.603354
-63.0,64,108.651075
-76.0,77,110.070822
-79.0,80,110.139271
-83.0,84,110.209695
-80.0,81,110.274473
-73.0,74,110.334487
-71.0,72,110.389274
-118.0,119,110.481275
-71.0,72,110.540362
-87.0,88,110.600533
-84.0,85,110.675313
-95.0,96,110.759513
-77.0,78,110.852148
-75.0,76,110.911952
-92.0,93,110.981298
-68.0,69,111.033359
-78.0,79,111.101288
-77.0,78,111.157233
-79.0,80,111.220165
-72.0,73,111.270238
-74.0,75,111.340734
-78.0,79,111.409653
-78.0,79,111.466427
-78.0,79,111.529112
-73.0,74,111.580256
-79.0,80,111.643127
-87.0,88,111.705273
-84.0,85,113.126794
-88.0,89,113.20336
-94.0,95,113.287231
-85.0,86,113.347825
-77.0,78,113.409116
-83.0,84,113.468431
-80.0,81,113.531495
-80.0,81,113.593886
-73.0,74,113.648168
-78.0,79,113.711259
-69.0,70,113.760447
-77.0,78,113.8241
-74.0,75,113.875247
-88.0,89,113.954116
-61.0,62,113.995224
-80.0,81,114.058407
-84.0,85,114.117287
