#{"t_start": 1768429730.5926514, "env_id": "Acrobot-v1"}
r,l,t
-103.0,104,69.483467
-86.0,87,69.550215
-121.0,122,69.638719
-110.0,111,69.762493
-87.0,88,69.825559
-72.0,73,69.878323
-64.0,65,69.922439
-79.0,80,69.987605
-77.0,78,70.042536
-73.0,74,70.103589
-74.0,75,70.157378
-65.0,66,70.214267
-65.0,66,70.266507
-70.0,71,70.328689
-77.0,78,70.391533
-71.0,72,70.445242
-90.0,91,70.519112
-91.0,92,70.582525
-86.0,87,70.649397
-74.0,75,70.703539
-139.0,140,72.700595
-71.0,72,72.760051
-86.0,87,72.834372
-86.0,87,72.901572
-97.0,98,72.967435
-84.0,85,73.036464
-72.0,73,73.088539
-116.0,117,73.185436
-85.0,86,73.253367
-64.0,65,73.298494
-95.0,96,73.37649
-76.0,77,73.430392
-71.0,72,73.489466
-95.0,96,73.564285
-79.0,80,73.620512
-73.0,74,73.683265
-77.0,78,73.737618
-87.0,88,73.802259
-155.0,156,73.91775
-92.0,93,73.985497
-101.0,102,74.07033
-88.0,89,74.145597
-95.0,96,74.254385
-99.0,100,76.154141
-76.0,77,76.224437
-92.0,93,76.291866
-121.0,122,76.380823
-86.0,87,76.449498
-110.0,111,76.526453
-74.0,75,76.633526
-64.0,65,76.68376
-61.0,62,76.725299
-81.0,82,76.791651
-70.0,71,76.843443
-102.0,103,76.927564
-192.0,193,77.071638
-68.0,69,77.128725
-73.0,74,77.182288
-64.0,65,77.238332
-77.0,78,77.291492
-82.0,83,77.352655
-84.0,85,77.427619
-277.0,278,77.625491
-90.0,91,77.695235
-77.0,78,79.648655
-73.0,74,79.709801
-79.0,80,79.776442
-79.0,80,79.839017
-81.0,82,79.900092
-72.0,73,79.967579
-80.0,81,80.025741
-73.0,74,80.088617
-64.0,65,80.140348
-93.0,94,80.218764
-63.0,64,80.26439
-109.0,110,80.349335
-76.0,77,80.406044
-65.0,66,80.45076
-70.0,71,80.51016
-78.0,79,80.566444
-64.0,65,80.620445
-89.0,90,80.687327
-65.0,66,80.74314
-95.0,96,80.809676
-89.0,90,80.91248
-98.0,99,80.986788
-77.0,78,81.042524
-79.0,80,81.097463
-63.0,64,81.144587
-81.0,82,81.204368
-93.0,94,83.161467
-89.0,90,83.243127
-83.0,84,83.304449
-103.0,104,83.382392
-71.0,72,83.434447
-101.0,102,83.513757
-79.0,80,83.577982
-103.0,104,83.651279
-63.0,64,83.704503
-80.0,81,83.760312
-95.0,96,83.832463
-76.0,77,83.891342
-75.0,76,83.94863
-77.0,78,84.010652
-87.0,88,84.076492
-105.0,106,84.153718
-111.0,112,84.244643
-61.0,62,84.289604
-63.0,64,84.346391
-72.0,73,84.398829
-74.0,75,84.464823
-71.0,72,84.517456
-96.0,97,84.596188
-73.0,74,84.648462
-72.0,73,86.57338
-73.0,74,86.641633
-114.0,115,86.737822
-71.0,72,86.785756
-93.0,94,86.858634
-78.0,79,86.915784
-63.0,64,86.970438
-220.0,221,87.168401
-71.0,72,87.251252
-77.0,78,87.308566
-64.0,65,87.350682
-64.0,65,87.392614
-96.0,97,87.478475
-140.0,141,87.586459
-73.0,74,87.643384
-82.0,83,87.697526
-92.0,93,87.767589
-78.0,79,87.822373
-76.0,77,87.887556
-64.0,65,87.932674
-78.0,79,87.997665
-72.0,73,88.049452
-65.0,66,88.106519
-94.0,95,88.19565
-62.0,63,90.130146
-71.0,72,90.195086
-90.0,91,90.278371
-81.0,82,90.332959
-305.0,306,90.573171
-91.0,92,90.658476
-75.0,76,90.725615
-117.0,118,90.816449
-80.0,81,90.871712
-88.0,89,90.955769
-78.0,79,91.008675
-73.0,74,91.064778
-92.0,93,91.142773
-64.0,65,91.187813
-85.0,86,91.260607
-87.0,88,91.32471
-89.0,90,91.396584
-62.0,63,91.444479
-70.0,71,91.500572
-70.0,71,91.551744
-64.0,65,91.605569
-75.0,76,91.662955
-95.0,96,93.60917
-62.0,63,93.667421
-73.0,74,93.725302
-92.0,93,93.80214
-108.0,109,93.879901
-74.0,75,93.953596
-79.0,80,94.032711
-77.0,78,94.088906
-86.0,87,94.151618
-219.0,220,94.325853
-71.0,72,94.377949
-82.0,83,94.44643
-71.0,72,94.497575
-85.0,86,94.568435
-78.0,79,94.623844
-91.0,92,94.704787
-85.0,86,94.775985
-73.0,74,94.826581
-88.0,89,94.902825
-85.0,86,94.964472
-91.0,92,95.038877
-64.0,65,95.091587
-72.0,73,95.150662
-91.0,92,97.108406
-148.0,149,97.238569
-99.0,100,97.322164
-89.0,90,97.379968
-78.0,79,97.439397
-76.0,77,97.494552
-64.0,65,97.552705
-86.0,87,97.622422
-71.0,72,97.676368
-82.0,83,97.744154
-86.0,87,97.806591
-73.0,74,97.869661
-92.0,93,97.940848
-91.0,92,98.011623
-71.0,72,98.071636
-87.0,88,98.131751
-85.0,86,98.214561
-75.0,76,98.286013
-88.0,89,98.346507
-87.0,88,98.408611
-72.0,73,98.46062
-77.0,78,98.523504
-123.0,124,98.6195
-71.0,72,98.674981
-64.0,65,100.602709
-90.0,91,100.683745
-153.0,154,100.807844
-95.0,96,100.87363
-89.0,90,100.945716
-74.0,75,100.999525
-79.0,80,101.065917
-94.0,95,101.144801
-86.0,87,101.20553
-64.0,65,101.261667
-93.0,94,101.324595
-64.0,65,101.376732
-92.0,93,101.446
-89.0,90,101.514592
-113.0,114,101.605545
-90.0,91,101.681474
-63.0,64,101.726592
-64.0,65,101.779683
-81.0,82,101.836872
-74.0,75,101.900634
-82.0,83,101.962809
-77.0,78,102.024838
-82.0,83,102.087535
-103.0,104,102.167499
-72.0,73,104.118322
-87.0,88,104.199531
-68.0,69,104.248822
-85.0,86,104.313945
-86.0,87,104.374512
-93.0,94,104.449945
-140.0,141,104.553755
-86.0,87,104.669703
-69.0,70,104.722842
-96.0,97,104.792438
-77.0,78,104.848829
-90.0,91,104.919961
-75.0,76,104.977847
-117.0,118,105.062751
-87.0,88,105.137962
-73.0,74,105.203829
-76.0,77,105.261758
-68.0,69,105.319788
-86.0,87,105.379946
-72.0,73,105.4418
-78.0,79,105.502521
-74.0,75,105.563712
-61.0,62,105.608724
-96.0,97,105.687784
-86.0,87,107.639132
-84.0,85,107.714045
-64.0,65,107.765892
-88.0,89,107.831779
-71.0,72,107.883623
-70.0,71,107.943852
-67.0,68,107.991462
-95.0,96,108.064592
-87.0,88,108.129763
-71.0,72,108.190463
-185.0,186,108.325964
-73.0,74,108.386255
-71.0,72,108.434769
-80.0,81,108.494853
-77.0,78,108.551708
-154.0,155,108.673545
-79.0,80,108.738804
-130.0,131,108.832773
-65.0,66,108.880623
-76.0,77,109.011186
-75.0,76,109.061566
-82.0,83,109.12268
-100.0,101,109.197603
-73.0,74,111.104121
-89.0,90,111.182501
-73.0,74,111.252485
-81.0,82,111.31385
-86.0,87,111.385754
-82.0,83,111.455578
-64.0,65,111.507715
-77.0,78,111.572779
-64.0,65,111.617938
-141.0,142,111.727901
-77.0,78,111.788678
-115.0,116,111.882628
-64.0,65,111.931791
-143.0,144,112.051722
-73.0,74,112.110644
-94.0,95,112.17562
-93.0,94,112.252643
-66.0,67,112.310517
-92.0,93,112.375688
-87.0,88,112.443665
-94.0,95,112.510928
-216.0,217,112.684582
-78.0,79,114.645613
-97.0,98,114.730198
-87.0,88,114.797255
-226.0,227,114.970721
-78.0,79,115.026247
-88.0,89,115.097605
-93.0,94,115.176573
-69.0,70,115.228718
-72.0,73,115.28686
-233.0,234,115.464028
-81.0,82,115.531705
-80.0,81,115.597708
-214.0,215,115.777763
-101.0,102,115.853971
-78.0,79,115.918553
-64.0,65,115.965666
-76.0,77,116.023738
-91.0,92,116.088712
-75.0,76,116.153602
-88.0,89,118.092776
-78.0,79,118.16295
-77.0,78,118.235305
-76.0,77,118.289569
-89.0,90,118.359598
-80.0,81,118.416749
-71.0,72,118.477006
-86.0,87,118.550602
-96.0,97,118.620862
-76.0,77,118.683677
-63.0,64,118.727715
-77.0,78,118.787873
-86.0,87,118.85101
-85.0,86,118.920707
-80.0,81,118.985706
-88.0,89,119.048719
-73.0,74,119.109669
-64.0,65,119.156672
-87.0,88,119.225714
-84.0,85,119.284801
-94.0,95,119.362664
-81.0,82,119.429852
-166.0,167,119.559842
-72.0,73,119.612697
-70.0,71,121.580956
-153.0,154,121.723898
-66.0,67,121.777733
-72.0,73,121.832822
-84.0,85,121.891719
-151.0,152,122.002347
-77.0,78,122.070963
-110.0,111,122.221811
-63.0,64,122.266982
-84.0,85,122.32367
-92.0,93,122.402003
-97.0,98,122.468684
-78.0,79,122.532817
-133.0,134,122.636625
-92.0,93,122.718918
-76.0,77,122.771055
-65.0,66,122.824726
-83.0,84,122.883571
-108.0,109,122.96981
-89.0,90,123.042295
-72.0,73,123.098787
-78.0,79,123.166684
-72.0,73,123.220612
-78.0,79,125.249486
-82.0,83,125.319997
-66.0,67,125.381052
-73.0,74,125.430643
-65.0,66,125.478857
-69.0,70,125.528931
-72.0,73,125.589593
-97.0,98,125.657898
-63.0,64,125.714755
-71.0,72,125.765912
-90.0,91,125.839613
-66.0,67,125.897692
-65.0,66,125.947363
-166.0,167,126.070037
-71.0,72,126.129785
-69.0,70,126.175861
-138.0,139,126.276985
-72.0,73,126.333844
-85.0,86,126.39795
-87.0,88,126.46701
-71.0,72,126.518803
