#{"t_start": 1768427707.2001011, "env_id": "Acrobot-v1"}
r,l,t
-82.0,83,66.769417
-88.0,89,66.84055
-93.0,94,66.915431
-67.0,68,66.962661
-82.0,83,67.085116
-93.0,94,67.158762
-94.0,95,67.217448
-95.0,96,67.285488
-89.0,90,67.344706
-96.0,97,67.412584
-102.0,103,67.497123
-84.0,85,68.841242
-77.0,78,68.909518
-98.0,99,68.985581
-75.0,76,69.043583
-81.0,82,69.095733
-78.0,79,69.15743
-63.0,64,69.204554
-89.0,90,69.278522
-77.0,78,69.335309
-89.0,90,69.397507
-102.0,103,69.473778
-85.0,86,69.527261
-92.0,93,69.662525
-103.0,104,69.727581
-91.0,92,69.793755
-104.0,105,69.866689
-131.0,132,69.959513
-63.0,64,70.010323
-91.0,92,70.088418
-87.0,88,70.157254
-83.0,84,70.216769
-96.0,97,70.282417
-94.0,95,70.354607
-81.0,82,71.827764
-86.0,87,71.902643
-96.0,97,71.979776
-85.0,86,72.034439
-66.0,67,72.102766
-108.0,109,72.210592
-101.0,102,72.289442
-88.0,89,72.354608
-83.0,84,72.424791
-96.0,97,72.490461
-85.0,86,72.562603
-93.0,94,72.636794
-65.0,66,72.681504
-251.0,252,72.897618
-76.0,77,72.960784
-84.0,85,73.013443
-86.0,87,73.071566
-84.0,85,73.130521
-92.0,93,73.212543
-80.0,81,73.279719
-112.0,113,73.357594
-71.0,72,74.905732
-86.0,87,74.980222
-89.0,90,75.054896
-199.0,200,75.192935
-79.0,80,75.250678
-86.0,87,75.31859
-113.0,114,75.405689
-85.0,86,75.46152
-97.0,98,75.533516
-101.0,102,75.667738
-88.0,89,75.755476
-81.0,82,75.815577
-85.0,86,75.880684
-81.0,82,75.954489
-94.0,95,76.032428
-84.0,85,76.08947
-71.0,72,76.147633
-100.0,101,76.230417
-71.0,72,76.287898
-67.0,68,76.335531
-99.0,100,76.421747
-74.0,75,76.497533
-78.0,79,76.552678
-71.0,72,78.067204
-98.0,99,78.147072
-95.0,96,78.214236
-85.0,86,78.272428
-72.0,73,78.322595
-79.0,80,78.387878
-82.0,83,78.443462
-91.0,92,78.516491
-91.0,92,78.65686
-98.0,99,78.735584
-63.0,64,78.782708
-75.0,76,78.831852
-91.0,92,78.898017
-96.0,97,78.974672
-83.0,84,79.054736
-78.0,79,79.116676
-101.0,102,79.183916
-85.0,86,79.261565
-94.0,95,79.342692
-102.0,103,79.408498
-74.0,75,79.467664
-86.0,87,79.522603
-107.0,108,79.599795
-93.0,94,81.044809
-89.0,90,81.1217
-81.0,82,81.189489
-81.0,82,81.242598
-63.0,64,81.281858
-108.0,109,81.366886
-83.0,84,81.434547
-91.0,92,81.495658
-175.0,176,81.625679
-63.0,64,81.6681
-79.0,80,81.724546
-85.0,86,81.795742
-94.0,95,81.869378
-71.0,72,81.91468
-78.0,79,81.977604
-86.0,87,82.03676
-99.0,100,82.115582
-72.0,73,82.170708
-77.0,78,82.230818
-71.0,72,82.296726
-76.0,77,82.347723
-70.0,71,82.402113
-73.0,74,82.469289
-69.0,70,82.530555
-95.0,96,83.896173
-64.0,65,83.953822
-74.0,75,84.010598
-92.0,93,84.080842
-78.0,79,84.136449
-74.0,75,84.185578
-91.0,92,84.255091
-80.0,81,84.310509
-63.0,64,84.362792
-77.0,78,84.418652
-85.0,86,84.546725
-62.0,63,84.585942
-87.0,88,84.650502
-92.0,93,84.71891
-76.0,77,84.772642
-87.0,88,84.836782
-104.0,105,84.910545
-61.0,62,84.961693
-102.0,103,85.033585
-75.0,76,85.094921
-63.0,64,85.1385
-64.0,65,85.188673
-89.0,90,85.251593
-70.0,71,85.31049
-80.0,81,85.372776
-88.0,89,86.771424
-70.0,71,86.833499
-80.0,81,86.902465
-83.0,84,86.961718
-74.0,75,87.0139
-86.0,87,87.072863
-77.0,78,87.132902
-99.0,100,87.202883
-89.0,90,87.274563
-81.0,82,87.336915
-190.0,191,87.467791
-62.0,63,87.510561
-90.0,91,87.583544
-75.0,76,87.634627
-87.0,88,87.708498
-81.0,82,87.767889
-73.0,74,87.816553
-72.0,73,87.866202
-142.0,143,87.967726
-66.0,67,88.019604
-63.0,64,88.062717
-89.0,90,88.128551
-87.0,88,88.18569
-102.0,103,89.580219
-79.0,80,89.64825
-74.0,75,89.703364
-81.0,82,89.766766
-92.0,93,89.828157
-62.0,63,89.875694
-119.0,120,89.962694
-69.0,70,90.014831
-75.0,76,90.064962
-93.0,94,90.139964
-131.0,132,90.241191
-87.0,88,90.306799
-70.0,71,90.354711
-94.0,95,90.428526
-71.0,72,90.479786
-81.0,82,90.542535
-71.0,72,90.590675
-230.0,231,90.767702
-168.0,169,90.924801
-71.0,72,90.969763
-113.0,114,91.04852
-73.0,74,91.09795
-84.0,85,92.46425
-87.0,88,92.535961
-81.0,82,92.597989
-94.0,95,92.663693
-80.0,81,92.7186
-97.0,98,92.793934
-76.0,77,92.855686
-73.0,74,92.906904
-112.0,113,93.023739
-70.0,71,93.077586
-156.0,157,93.182158
-145.0,146,93.283812
-74.0,75,93.343655
-78.0,79,93.402001
-85.0,86,93.465196
-79.0,80,93.540814
-118.0,119,93.632555
-85.0,86,93.689818
-104.0,105,93.76993
-90.0,91,93.842651
-87.0,88,93.903811
-88.0,89,93.966924
-84.0,85,95.296518
-66.0,67,95.350332
-74.0,75,95.407032
-73.0,74,95.45635
-78.0,79,95.510864
-79.0,80,95.564867
-94.0,95,95.632999
-131.0,132,95.724554
-63.0,64,95.770681
-74.0,75,95.835964
-73.0,74,95.888955
-73.0,74,95.947821
-93.0,94,96.007612
-96.0,97,96.07898
-82.0,83,96.139866
-89.0,90,96.19891
-84.0,85,96.259943
-79.0,80,96.312581
