#{"t_start": 1768429459.5225291, "env_id": "Acrobot-v1"}
r,l,t
-89.0,90,59.78958
-108.0,109,59.863544
-109.0,110,59.94859
-115.0,116,60.040444
-137.0,138,60.144602
-99.0,100,60.218485
-94.0,95,60.27857
-86.0,87,60.339757
-113.0,114,60.413655
-104.0,105,60.491744
-98.0,99,60.563488
-80.0,81,60.616689
-138.0,139,60.717224
-103.0,104,60.794378
-118.0,119,62.148571
-71.0,72,62.210375
-129.0,130,62.314379
-167.0,168,62.431638
-91.0,92,62.491566
-117.0,118,62.577922
-96.0,97,62.645532
-100.0,101,62.710709
-79.0,80,62.773492
-97.0,98,62.836699
-97.0,98,62.908561
-118.0,119,62.994672
-91.0,92,63.053476
-98.0,99,63.123395
-70.0,71,63.172538
-81.0,82,63.234683
-100.0,101,63.367511
-93.0,94,63.432363
-110.0,111,63.50671
-93.0,94,63.57474
-81.0,82,63.625705
-90.0,91,64.92021
-63.0,64,64.977308
-83.0,84,65.041978
-80.0,81,65.106575
-92.0,93,65.162699
-86.0,87,65.221635
-177.0,178,65.407351
-67.0,68,65.459531
-88.0,89,65.522682
-86.0,87,65.576386
-128.0,129,65.668448
-104.0,105,65.747519
-99.0,100,65.813462
-102.0,103,65.888387
-81.0,82,65.954832
-99.0,100,66.017638
-93.0,94,66.086894
-101.0,102,66.162807
-74.0,75,66.21267
-91.0,92,66.283684
-103.0,104,66.351821
-91.0,92,67.692755
-105.0,106,67.776214
-105.0,106,67.861529
-136.0,137,67.954402
-139.0,140,68.057463
-107.0,108,68.138683
-92.0,93,68.200373
-114.0,115,68.28676
-88.0,89,68.363655
-84.0,85,68.420634
-96.0,97,68.493562
-104.0,105,68.575787
-94.0,95,68.640398
-91.0,92,68.707761
-75.0,76,68.755397
-95.0,96,68.823653
-97.0,98,68.896618
-106.0,107,68.96981
-101.0,102,69.049266
-77.0,78,69.107851
-106.0,107,70.468373
-159.0,160,70.595819
-92.0,93,70.666839
-75.0,76,70.713004
-96.0,97,70.787636
-144.0,145,70.893608
-95.0,96,70.964216
-123.0,124,71.052805
-96.0,97,71.127583
-98.0,99,71.201637
-85.0,86,71.258471
-74.0,75,71.318623
-93.0,94,71.376612
-85.0,86,71.442411
-67.0,68,71.491574
-88.0,89,71.561512
-171.0,172,71.679564
-83.0,84,71.745842
-76.0,77,71.794632
-102.0,103,71.912873
-98.0,99,71.988626
-80.0,81,73.310466
-104.0,105,73.397248
-79.0,80,73.456275
-105.0,106,73.527442
-74.0,75,73.576841
-74.0,75,73.633694
-98.0,99,73.696206
-83.0,84,73.755636
-77.0,78,73.808559
-77.0,78,73.868654
-170.0,171,74.041833
-80.0,81,74.090844
-76.0,77,74.145956
-90.0,91,74.209656
-78.0,79,74.270637
-84.0,85,74.329583
-78.0,79,74.386608
-92.0,93,74.44486
-89.0,90,74.518837
-104.0,105,74.600626
-99.0,100,74.669591
-101.0,102,74.746789
-104.0,105,76.102658
-84.0,85,76.174605
-95.0,96,76.253415
-76.0,77,76.300778
-90.0,91,76.365576
-78.0,79,76.417579
-92.0,93,76.489721
-69.0,70,76.538875
-93.0,94,76.610584
-95.0,96,76.679512
-82.0,83,76.73265
-73.0,74,76.791805
-65.0,66,76.838566
-80.0,81,76.90472
-84.0,85,76.963875
-87.0,88,77.031583
-93.0,94,77.102859
-63.0,64,77.146668
-75.0,76,77.207835
-75.0,76,77.26182
-63.0,64,77.309502
-105.0,106,77.386705
-76.0,77,77.45066
-79.0,80,77.507663
-106.0,107,78.868661
-99.0,100,78.951538
-337.0,338,79.206978
-65.0,66,79.250837
-78.0,79,79.30773
-69.0,70,79.353462
-85.0,86,79.420519
-111.0,112,79.509815
-115.0,116,79.586567
-98.0,99,79.65683
-91.0,92,79.727987
-96.0,97,79.793561
-97.0,98,79.870589
-81.0,82,79.931742
-67.0,68,79.980491
-77.0,78,80.03054
-147.0,148,80.134467
-71.0,72,80.225119
-88.0,89,80.295548
-89.0,90,80.35147
-76.0,77,81.675821
-92.0,93,81.750832
-93.0,94,81.829765
-74.0,75,81.879762
-72.0,73,81.932677
-85.0,86,81.990871
-91.0,92,82.064834
-99.0,100,82.177929
-85.0,86,82.263066
-85.0,86,82.318594
-171.0,172,82.441677
-70.0,71,82.493627
-81.0,82,82.562871
-91.0,92,82.625035
-64.0,65,82.677791
-95.0,96,82.738846
-142.0,143,82.838758
-89.0,90,82.907916
-92.0,93,82.973834
-80.0,81,83.038308
-81.0,82,83.103703
-76.0,77,83.154837
-84.0,85,83.218281
-72.0,73,84.567628
-65.0,66,84.624504
-71.0,72,84.674034
-65.0,66,84.719583
-80.0,81,84.7774
-95.0,96,84.848909
-93.0,94,84.914683
-105.0,106,85.000565
-93.0,94,85.076095
-91.0,92,85.13785
-75.0,76,85.193527
-90.0,91,85.253535
-88.0,89,85.3231
-103.0,104,85.397013
-92.0,93,85.459731
-89.0,90,85.53314
-96.0,97,85.606343
-85.0,86,85.663922
-65.0,66,85.716144
-76.0,77,85.772957
-88.0,89,85.849748
-96.0,97,85.913445
-84.0,85,85.976034
-77.0,78,87.311882
-92.0,93,87.392584
-177.0,178,87.525837
-69.0,70,87.573555
-98.0,99,87.637628
-78.0,79,87.696305
-236.0,237,87.875992
-81.0,82,87.944717
-106.0,107,88.024854
-82.0,83,88.085636
-105.0,106,88.166684
-93.0,94,88.239812
-88.0,89,88.308662
-95.0,96,88.413977
-76.0,77,88.469555
-80.0,81,88.524698
-75.0,76,88.585628
-74.0,75,88.636762
-89.0,90,88.72189
-93.0,94,88.790673
-76.0,77,88.841602
-117.0,118,90.155292
-98.0,99,90.234635
-91.0,92,90.295663
-77.0,78,90.351802
